ilkid,year,team,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,class,outlier_prediction
CALDWJO01,1968,ATL,81,2720,1281,0,0,303,320,0,0,0.0,231,1106,561,296,159,0,0,1,1.0
KINGJI01,1968,SFW,46,1010,352,0,0,120,123,0,0,0.0,99,394,137,108,78,0,0,0,1.0
MCGLOJO01,1968,MIL,80,2888,1570,0,0,343,312,0,0,0.0,186,1358,662,292,246,0,0,0,1.0
MCLEMMC01,1968,TOT,81,1620,733,0,0,404,94,0,0,0.0,186,722,282,214,169,0,0,0,1.0
PAULKCH01,1968,MIL,17,217,51,0,0,78,3,0,0,0.0,26,84,19,23,13,0,0,0,1.0
BLOCKJO01,1969,SDR,82,2152,1193,0,0,609,137,0,0,0.0,275,1025,453,367,287,0,0,0,1.0
BRIDGBI01,1969,ATL,82,3269,1217,0,0,1181,345,0,0,0.0,292,932,443,451,331,0,0,0,1.0
SIEGFLA01,1969,BOS,78,2081,984,0,0,212,299,0,0,0.0,187,902,382,257,220,0,0,0,1.0
SMITHAD01,1969,TOT,77,1087,458,0,0,82,132,0,0,0.0,122,416,153,170,152,0,0,0,1.0
THORNRO01,1969,SEA,19,105,55,0,0,16,17,0,0,0.0,8,45,20,24,15,0,0,0,1.0
BARRTH01,1970,CIN,31,145,61,0,0,20,28,0,0,0.0,27,62,25,13,11,0,0,0,1.0
COLLIJI01,1970,CHI,55,478,219,0,0,54,60,0,0,0.0,43,214,92,45,35,0,0,0,1.0
DIERKCO01,1970,TOT,54,737,311,0,0,234,60,0,0,0.0,114,322,125,89,61,0,0,0,1.0
GARREEL01,1970,BUF,75,2375,964,0,0,295,264,0,0,0.0,290,902,373,251,218,0,0,0,1.0
KAUFFBO01,1970,BUF,78,2778,1591,0,0,837,354,0,0,0.0,263,1309,616,485,359,0,0,0,1.0
MASTED01,1970,NYK,30,164,61,0,0,56,4,0,0,0.0,25,66,25,20,11,0,0,0,1.0
MULLIJE01,1970,SFW,75,2909,1562,0,0,341,332,0,0,0.0,246,1308,630,358,302,0,0,0,1.0
ROBERRI01,1970,LAL,65,909,338,0,0,304,47,0,0,0.0,125,301,125,143,88,0,0,0,1.0
SANDETH01,1970,BOS,17,121,39,0,0,17,11,0,0,0.0,25,44,16,8,7,0,0,0,1.0
